id,name,city,cities,region,terrain,description,owner,defense,income,x,y,roads,armyId
shenghekou,白鹿,白鹿,白鹿;白帆城;钟楼镇;雾港驿;雪枫寨;河灯营;银潮埠;长桥关,圣劳伦斯河口,大河/港湾/寒林,大河入海门户，外邦商馆借航道和金融控制北东贸易。,Foreign,64,28,249,44,"xueyuanbao,wuhucheng,baisongling,yunjinggang",f5
baisongling,霞羽,霞羽,霞羽;雾杉城;灯塔镇;寒湾寨;白鸦驿;青石营;松门关,白松寒岭,山岭/寒林/海湾,寒岭与港湾交错的东北边墙，龙旗旧贵族在此与海商互相牵制。,Imperial,60,18,275,31,"shenghekou,yunjinggang,longmenbao,wanghaiguan",e4
yunjinggang,溪岚,溪岚,溪岚;星帆城;灰鲸镇;雾湾驿;远潮寨;北灯营;海钟埠,东北外海港群,深港/岛屿/寒潮,外海舰队驻泊的港群，远洋商路与雇佣军在此集结。,Foreign,68,31,310,42,"shenghekou,baisongling,wanghaiguan",f1
longmenbao,云镜,云镜,云镜;鹰门城;铁峡镇;鹿鸣驿;白石寨;北梁营;星河关,哈德逊河上游,河谷/山门/林地,新京西北的山门堡，扼守内陆通往东海岸的主要关道。,Player,72,24,236,14,"luoshuiying,baisongling,xinjing,haimenwei",a2
xinjing,星槎,星槎,星槎;太初城;东辰坊;玉带津;承明关;秋水镇;明德营;望阙台;金台驿,东岸都会带,港湾/河口/平原,新京都督府的政治与学院中心，港口、军校和报馆密集，是玩家势力的根基。,Player,88,38,236,-1,"longmenbao,wanghaiguan,haimenwei,canghaiyi",a1
wanghaiguan,鹤梦,鹤梦,鹤梦;白帆港;松涛城;灯影镇;鸥沙驿;临潮寨;风铃埠,东北海湾,海港/丘陵/灯塔,新京东北海防关，承担舰船补给和外海警戒。,Player,70,27,256,12,"xinjing,baisongling,yunjinggang",a3
canghaiyi,玉霄,玉霄,玉霄;蓝港城;潮门镇;银沙寨;东澜关;海檐营,中东岸驿路,海岸/河湾/驿站,连接新京与南方海岸的驿路省份，商旅密集，防御纵深较薄。,Player,58,22,222,-14,"xinjing,haimenwei,suiyangfu",a5
haimenwei,风烛,风烛,风烛;望阙港;白潮城;归帆镇;沙洲寨;东台营;红桥渡,切萨皮克水门,河湾/湿地/军港,东岸南部门户，水道复杂，适合水师与陆军协同。,Player,68,29,220,-23,"xinjing,longmenbao,canghaiyi,qinglingguan,suiyangfu",a4
qinglingguan,归鹤,归鹤,归鹤;松烟城;铜鼓镇;云栈驿;石屏寨;花岭营;雪竹关,阿巴拉契亚山门,山岭/林道/关隘,东部山脉的军事关口，旧朝残军在这里长期阻断东西交流。,Imperial,76,22,190,-27,"luoshuiying,changhedu,shihuaiying,haimenwei,yanzecheng",e2
yanzecheng,晨霜,晨霜,晨霜;鹭湾镇;青藤港;桂岭寨;泥湾驿;南栈营;松火埠,东南林泽,湿林/河湾/丘陵,林泽与种植园城镇交错，革故派在此推进自治议会与民兵训练。,Reformist,56,23,176,-53,"qinglingguan,shihuaiying,suiyangfu,nanwanfu",
suiyangfu,绯雪,绯雪,绯雪;潮阳城;绿港镇;橡林寨;南桥驿;白盐营;金棕埠,东南海岸,海岸/林地/盐沼,东南海岸的富庶中立府，盐沼、林场和港税让各势力都想拉拢它。,Neutral,52,25,201,-48,"canghaiyi,haimenwei,yanzecheng,nanwanfu",
nanwanfu,霞照,霞照,霞照;棕榈港;月港城;鹤洲镇;红礁寨;海灯营;晴沙埠,墨湾与半岛,海湾/沼泽/半岛,墨湾北岸和半岛水路的节点，外邦商馆以炮舰、货栈和糖税维持影响。,Foreign,62,30,183,-92,"mihekou,yanzecheng,suiyangfu",f3
