name,identity,faction,kind,traits,background,tasks,nodes,portrait,asset
赵伯衡,同窗好友/室友，赵将军之子,返乡团,同学NPC,正派、沉稳、重义、隐忍、矛盾,将门虎子，自幼习兵法武艺，以优异成绩入学院。与主角同寝室，性情相投结为挚友。然其父长年戍边，母亲强势操控家事，使他外表沉稳而内心压抑。深信东征光复之使命，却在学院中逐渐见识到大陆之辽阔与另一番可能。,袍泽之誓:与赵伯衡立下同生共死之约;家书万金:替其传递与父亲的家书;棋逢对手:与他在兵棋推演中对抗;兄弟阋墙:因立场分歧与他产生裂痕;归途:在他迷茫时为其指路,第一章与主角成为挚友；第三章因东征立场与主角产生分歧；第六章在关键时刻选择,俊朗青年，浓眉星目，着学院制服，佩家传短剑，神情沉稳中带忧郁,Art/Portraits/portrait_011
钱若愚,钱尚书之孙，憨厚老实,返乡团,同学NPC,憨厚、老实、胆小、善良、迟钝,祖父权倾朝堂，他却半点没继承那心机城府。入学靠祖父安排，成绩常在末尾徘徊，却从不作弊偷巧。旁人嘲他愚钝，他只是憨笑。唯独对朋友一片赤诚，被欺负时也不还手，却会在朋友受难时第一个冲上去——哪怕自己先摔倒。,笨鸟先飞:帮钱若愚补习功课通过考试;尚书之孙:陪他面对'靠祖父入学'的嘲讽;笨办法:用他的方式而非计谋解决难题;真心话:在篝火夜谈中听他说出心中恐惧;最后的憨笑:在他做出出人意料的选择时在场,第二章被陈敬之等人欺凌；第四章祖父去世后遭受打击；第六章以笨拙方式做出关键选择,圆脸微胖的少年，眼神单纯，着学院制服总是不太合身，笑容憨厚,Art/Portraits/portrait_012
冯英杰,冯铁山之女，女扮男装入学,返乡团,同学NPC,刚烈、机敏、骄傲、孤独、勇敢,自幼随父在边关长大，骑射功夫不让男儿。不甘女子之身困于闺阁，趁父出征之际剪发易服，以'冯英杰'之名投考学院。与同袍同吃同住，时时刻意压低嗓音、收敛身姿。夜深人静时独望星月，既是思乡亦是自我追问——这副皮囊之下，我究竟是谁？,巾帼秘密:发现冯英杰的女扮男装身份并替其保密;边关来信:帮其处理父亲家书中的暗语;骑射之道:与其切磋马术弓艺;身份危机:有人怀疑其性别时帮其遮掩;真我:在她决定公开身份时给予支持,第一章与主角同班结交；第三章身份险些暴露；第五章真实身份公开引发风波,清秀而英气的少年，眉目间有掩不住的秀色，束发紧实，着宽松军装,Art/Portraits/portrait_013
沈天佑,沈沧海之子，热血但冒失,返乡团,同学NPC,热血、冒失、冲动、乐观、单纯,自幼在船厂长大，对大海有近乎宗教般的热爱。入学不为仕途，只为有朝一日能驾驶父亲造的大船东征故土。性子急如烈火，常因冲动闯祸，却总能以一脸无辜的笑糊弄过去。与父亲一样痴迷船舰，不同的是他只爱乘风破浪，不爱图纸枯燥。,浪花少年:陪沈天佑去港口体验航海;冒失鬼:帮其收拾因冲动闯下的祸事;船厂之子:在沈沧海处为其说情;风暴将至:在海上遇险时与其共渡难关;扬帆东征:在东征舰队启航时与他并肩,第二章因冲动违规受罚；第四章偷驾战船出海遇险；第六章成为东征先锋舰长,黝黑健壮的少年，海风吹乱额发，眼中跃动海光，嘴角永远上扬,Art/Portraits/portrait_014
顾承恩,顾老太爷曾孙，文弱书生型,返乡团,同学NPC,文弱、敏感、博学、自卑、温柔,曾孙中最似老太爷者，自幼浸泡于故纸堆中，经史子集倒背如流，武艺体能却一塌糊涂。入学后被同窗讥为'活书架'，体能训练屡屡垫底。与曾祖最亲，每夜在老太爷膝前听东渡旧事。表面温顺如羊，内心却因无法武勇而深深自卑。,书生之路:帮顾承恩找到非武力的学院立足之道;曾祖之愿:替他照顾年迈的顾老太爷;纸上谈兵:用其学识在兵棋推演中制胜;柔弱与坚韧:在其被霸凌时助其找到勇气;笔杆子:帮其在学院报刊上发表文章,第一章因体能差被孤立；第三章用学识赢得兵棋推演赛；第五章曾祖病逝后性格大变,白净瘦弱的少年，戴圆框眼镜，手指常有墨渍，神情怯懦,Art/Portraits/portrait_015
李承恩,陆军中将，李婉清之父，干城派核心,陆军青壮派,非同学NPC,强硬、务实、护女、专断、锐利,行伍出身，从边境小卒一路杀至陆军中将。长年戍守内陆，深知大陆之辽阔远胜海洋。主张深耕大陆、建立强大陆军，视返乡团的东征梦为逃避现实。独女婉清是其唯一软肋，虽严厉要求其从军，实则日夜忧心。,将军的召见:首次被李承恩单独召见谈话;陆海之争:见证其与返乡团的激烈论战;父女心结:帮其与李婉清修复关系;大陆军蓝图:协助其制定陆军扩军计划;铁腕将军:在内战时面对其军事决断,第二章提出'大陆军'改革方案；第四章与返乡团决裂；第六章率陆军主力表态,身材魁梧的中年军人，面如刀削，着陆军将官制服，目光锐利如鹰隼,Art/Portraits/portrait_016
王铁柱,西部边防将领，实战派,陆军青壮派,非同学NPC,粗犷、直爽、嗜酒、重义、悍勇,西北苦寒之地出生，自幼与风沙为伴。十六岁从军，在无数次边境冲突中杀出威名。不识几个大字，却能在沙盘上推演出精妙战局。最恨纸上谈兵之人，最敬凭本事吃饭的好汉。军中人称'铁柱将军'，非因其刚强，乃因'搬不动'——一旦认准之事九牛难拉。,铁柱之言:在酒馆中听王铁柱痛斥朝堂腐儒;边防实战:随其赴边境见识真实战场;蛮力与谋略:用计谋替他解围;老兵的勋章:帮其讨回被克扣的军功赏;铁柱将军的选择:内战时说服其加入己方,第三章在前线展示残酷战争；第五章因军功被夺与朝廷冲突；第六章率边防军入局,虎背熊腰的壮汉，满面络腮胡，皮肤粗粝如铁，着旧军甲，腰悬战斧,Art/Portraits/portrait_017
张猛,前线步兵军官，百战老兵,陆军青壮派,非同学NPC,沉默、坚韧、寡言、悲悯、麻木,从军二十年，经历大小战阵百余，身上箭伤刀疤如刻。早已对生死麻木，却总在深夜惊醒于战友临终的呼号。不爱说话，不说大话，只做实事。对新兵蛋子又嫌弃又心疼——嫌弃他们嫩，心疼他们将走自己走过的血路。,沉默老兵:在沉默中听张猛讲述战争真相;百战之躯:替其处理旧伤复发的困境;新兵蛋子:帮其训练一批新入伍的学员;最后一战:陪这位老兵打完最后一仗;无名碑:为阵亡的战友修建纪念石碑,第三章展示战争的真实代价；第五章在军事行动中救下主角；第六章选择退伍或再战,瘦削的中年军人，面容枯槁却肌肉如铁，满身旧伤，目光空洞而温和,Art/Portraits/portrait_018
刘炮生,炮兵指挥官，技术狂人,陆军青壮派,非同学NPC,偏执、狂热、粗犷、骄傲、暴躁,铸炮匠人之后，自幼在铁水与硝烟中长大。对火炮有近乎病态的痴迷，能凭耳音判断炮膛裂纹。改良火炮射程三成，却因'奇技淫巧'之讥迟迟不得升迁。脾气火爆如他铸的炮，一言不合即雷霆大怒，唯独面对女儿刘小炮时化为绕指柔。,炮火之魂:参观刘炮生的火炮工坊;射程极限:帮其测试新型远程火炮;铸炮之秘:发现其火炮配方中的秘密;父女炮术:协调其与刘小炮的分歧;最后一炮:在内战关键战役中为其校准炮击,第三章展示改良火炮威力；第五章因技术泄密遭调查；第六章以火炮技术决定要塞攻防,壮硕如炮筒的中年人，满脸火药灼痕，着黑色工装，腰挂铜制测距仪,Art/Portraits/portrait_019
陈骑风,骑兵军官，速度战术信仰者,陆军青壮派,非同学NPC,骄傲、灵动、浪漫、鲁莽、自由,草原上长大的汉印混血儿，自幼在马背上度日。入伍后凭骑射天赋速升骑兵校尉，信奉'天下武功唯快不破'。性格浪漫如风，爱在冲锋时高歌，恨在壁垒后枯坐。与干城派的大陆军理念若即若离——他要的是策马天地间，不是蹲壕沟守阵地。,疾风之骑:与陈骑风进行骑术竞速;草原之约:陪其赴草原与印第安骑手交流;快与慢:在战术辩论中与他探讨速度与防御;风中骑士:在其负伤后照料其爱马;最后一冲锋:在决战中与其并肩冲锋,第二章在演习中展示骑兵突击；第四章因擅离职守被罚；第六章率骑兵执行关键迂回,英气勃发的青年军人，面容混血，发束马尾，着轻骑兵皮甲，身姿矫健如猎豹,Art/Portraits/portrait_020
杨守边,边防军需官，务实派,陆军青壮派,非同学NPC,精明、务实、圆滑、世故、可靠,商人家庭出身，因家道中落而从军。凭算账本事从伙夫升到军需官，深谙'兵马未动粮草先行'之理。在朝堂派系斗争中从不站队，只认'谁给钱谁就是主'。表面油滑，实则心中有数——他的粮草是前线兄弟的命。,粮草先行:帮杨守边筹措一批紧急军需;两头拿钱:发现其同时收取两派经费;守边的底线:在物资紧缺时逼其表态;最后一车粮:在内战前夕抢运决定性粮草;务实的选择:在绝境中听其说出真正立场,第三章因军需分配与韩忠义冲突；第五章在两派间周旋求存；第六章以粮草归属影响战局,精瘦的中年人，小眼睛滴溜溜转，着半旧军服，袖口总记着账目,Art/Portraits/portrait_021
许医官,军医主管，悲天悯人,陆军青壮派,非同学NPC,慈悲、疲惫、执拗、清醒、温和,原是民间郎中，因边境战事惨烈而被征入军中。二十年军医生涯，截肢缝合无数，却始终无法习惯死亡。每个伤兵离世，他都会记下姓名和家乡。在主战派中是异类，在厌战者中是依靠。他不说反战之言，只在手术台前沉默地与死神拔河。,医者仁心:协助许医官救治一批重伤员;亡者名单:帮其整理阵亡将士名册送达家属;药草之路:随其入山采药遭遇危险;最后一刀:在绝境中为其提供手术抉择建议;活人之书:支持其编写军医手册的请求,第三章在战后展现医疗惨状；第五章因反对无谓牺牲与上级冲突；第六章在内战伤兵前做出抉择,清瘦疲惫的中年人，眼袋深重，手指修长但常沾血迹，着灰白医官服,Art/Portraits/portrait_022
魏连长,模范连长，底层军官代表,陆军青壮派,非同学NPC,耿直、刚正、倔强、护短、朴实,农家子弟，从列兵一步步做到连长，是军中最常见的底层军官缩影。治军严格却爱兵如子，连里兄弟犯事他顶，兄弟立功他推。不求升官发财，只求手下兄弟活着回家。在军官会议上敢当面顶撞上官，因此二十年了还是连长。,连长的一天:跟班体验魏连长的日常军务;顶撞之后:帮其化解因直言犯上惹的祸;兄弟连:在其连队遭遇埋伏时驰援;连长的倔强:在命令与良知冲突时支持他;最后一班岗:在内战分兵时陪他站最后一班岗,第三章带学员体验基层军旅；第五章因抗命被关押；第六章率连队响应主角号召,皮肤黝黑的壮实军人，面容朴实，着基层军官制服，手掌粗糙有茧,Art/Portraits/portrait_023
秦百总,老兵油子，经验丰富,陆军青壮派,非同学NPC,油滑、世故、精明、胆小、忠诚,从军三十年，熬走了六任上司，却始终在百总位置上纹丝不动——不是升不了，是不想升。升了官要扛责，百总刚刚好：大事有上司顶着，小事自己捞点油水。嘴上总说'活命要紧'，可当年真到了战场上，这个'胆小鬼'却三次把战友从死人堆里拖出来。,油条的智慧:向秦百总学习军中生存之道;偷天换日:帮其偷运一批违禁品打点关系;真面目:在危难中见识其隐藏的勇毅;老油条的赌注:在内战时押注其站队选择;三十年的秘密:发现其隐藏的战场勋章,第二章教主角军中人情世故；第四章因贪小被卷入阴谋；第六章关键时刻显露真性情,精瘦矮小的老兵，满脸褶子，眼睛笑起来成缝，着半旧军服，腰别旱烟袋,Art/Portraits/portrait_024
高文举,军事记者，鼓吹大陆军主义,陆军青壮派,非同学NPC,雄辩、尖锐、理想主义、偏激、才华横溢,秀才出身，科场失意后投笔从戎，因体弱不堪前线而转做随军文书。笔锋却比刀锋更利，其所撰《大陆军论》一文轰动朝野，被干城派奉为檄文。言辞激烈不留情面，为大陆军主义摇旗呐喊不遗余力，却也常因偏激而树敌无数。,笔锋如刀:为高文举的军事评论提供素材;大陆军论:协助其撰写系列政论文章;舆论战场:在论战中为其提供论据支持;文人的枪:在其遭暗杀威胁时保护他;最后一篇社论:在其绝笔文章发表时见证,第二章发表《大陆军论》引爆舆论；第五章因批评皇帝遭禁言；第六章以笔为枪影响战局,瘦高文人，面容清癯如刀削，着儒衫外套军装，手持毛笔如执剑,Art/Portraits/portrait_025
李婉清,二年级学姐，李将军之女,陆军青壮派,同学NPC,骄傲、坚韧、独立、要强、温柔,将门虎女，自幼在军营中耳濡目染，骑射兵器样样精通。入学成绩年级第一，武艺考核无人能出其右。外表冷傲拒人千里，实则因'将军之女'标签而负重前行——每一步都必须证明自己不只是靠父亲。与父亲关系复杂：既崇拜又抗拒。,学姐的考验:通过李婉清设下的入伙考验;父女的距离:帮其与李承恩将军沟通;将门之女:在挑战赛中助其击败质疑者;骄傲与脆弱:在她受伤时看到另一面;学姐的选择:在她与父亲决裂时给予支持,第一章以学姐身份指点主角；第三章与父亲爆发冲突；第六章在派系斗争中独立抉择,英气少女，高马尾，眉目凛然，着学院制服外披骑兵短氅，腰悬短刀,Art/Portraits/portrait_026
王大胆,老兵之子，性格鲁莽,陆军青壮派,同学NPC,鲁莽、勇敢、粗犷、仗义、心大,其父是魏连长的老部下，自幼在军营家属院中撒野长大。不识几个字，打架却从没输过。入学全凭一身蛮力和老爹的面子。天不怕地不怕，唯独怕鬼——每次夜间行军都死死抓住旁边人的衣角。口头禅是'怕个鸟'，说完通常就闯祸了。,大胆闯祸:帮王大胆收拾又一次闯下的烂摊子;夜行军:陪他克服怕鬼的心病;蛮力与巧劲:教他用脑而非只用拳头;老兵的儿子:在其父受处分时安抚他;大胆的选择:在绝境中看他是否真大胆,第二章因打架被罚关禁闭；第四章在实战演习中英勇负伤；第六章在战火中证明勇气,粗壮少年，满脸青春痘，头发剃短，着制服总敞着怀，笑起来大咧咧,Art/Portraits/portrait_027
张弓,猎户出身，弓术精湛,陆军青壮派,同学NPC,沉静、敏锐、寡言、孤傲、自在,北境猎户之子，自幼以弓箭谋生，百步穿杨不过是吃饭本领。因在边防军弓术比试中力压全部军官而被特招入学。不善言辞，不合群，总独自在靶场练箭。旁人觉其孤傲，实则他只是不知道如何与这些世家子弟相处——他的世界只有弓弦与靶心。,猎人之眼:向张弓学习野外追踪技巧;百步穿杨:在射击比赛中与其搭档;两个世界:带他融入学院的社交圈;猎人的直觉:在危机中依靠其警觉脱险;箭在弦上:在其面临道德抉择时助其决断,第二章在射击赛一鸣惊人；第四章用弓术在实战中立功；第六章在关键一箭中做出选择,精瘦少年，肤色深褐，眼神如鹰，持长弓，指节因拉弦而变形,Art/Portraits/portrait_028
刘小炮,刘炮生之女，炮术天才,陆军青壮派,同学NPC,聪慧、倔强、好胜、专注、叛逆,铸炮匠人的孙女，从小在炮厂里玩炮弹壳长大。对弹道与火药有惊人直觉，十三岁即能算出炮弹落点。入学是为证明'女子也能打炮'，与父亲的保守观念针锋相对。上课时算数无敌，体能测试勉强及格，考试总在草稿纸上画弹道曲线。,炮术少女:在靶场见识刘小炮的炮术天赋;父女争论:调解她与刘炮生的代际冲突;弹道之美:听她讲述弹道计算的乐趣;偏心:在其因性别遭受歧视时仗义执言;天才的选择:在她面临留校与赴前线抉择时给出建议,第三章以炮术破局演习；第五章与父亲决裂加入前线；第六章在攻城战中一炮定音,娇小少女，戴护目镜，手指沾满火药灰，着大一号工装，眼中闪着计算的光,Art/Portraits/portrait_029
杨石头,矿工之子，力大无穷,陆军青壮派,同学NPC,憨厚、沉默、力气大、自卑、忠厚,矿山苦力之子，自幼随父凿石挖矿，练出一身蛮力。入学靠的是举石锁的记录——三百斤石锁举过头顶，教官当场拍板录取。不善读书，考试全靠死记硬背。沉默寡言，被人欺负也不还手，只因怕自己的力气伤人。唯一的一次出手，是替被欺凌的同学挡了一拳。,石头的力量:在搬移重物任务中见识其怪力;山中少年:陪其回矿区探望受伤的父亲;沉默的守护:在其被嘲笑时替他说话;力与智:教他用巧力而非蛮力;石头的心:在危机中看他迸发出隐藏的勇气,第一章因力大被推举做体力活；第四章为保护同学受伤；第六章以蛮力完成不可能的任务,壮硕如铁塔的少年，面容憨厚，手掌粗大如蒲扇，着紧绷的制服，总怕弄坏东西,Art/Portraits/portrait_030
阿黑·雷鸟,最大部落联盟酋长，伊尔德之父,印第安乡党,非同学NPC,威严、深沉、老谋、隐忍、矛盾,年轻时是部族最勇猛的猎手，却在一场瘟疫中失去三个兄弟。悲痛化为智慧，他学会在汉人与部族间走钢丝——既不激怒朝廷，也不让族人的利益被蚕食。送子入学院是他的赌注：若伊尔德能融入汉人体系，或许能走出第三条路。,酋长的考验:接受阿黑·雷鸟的部落式考验;两个世界:在汉人与部落间为其传递信息;酋长的赌注:理解其送子入学的深层意图;联盟之锚:帮其在部落联盟中维系权威;最后的篝火:在其部落面临存亡时做出抉择,第二章在部族会议上发声；第四章面临朝廷征地令；第六章决定部落联盟的最终立场,雄壮如山的老年酋长，深褐皮肤，两道长辫缀鹰羽，面纹如河，目光深邃,Art/Portraits/portrait_031
白羽·鹿灵,部落大祭司，精神领袖,印第安乡党,非同学NPC,神秘、悲悯、远见、孤高、执着,自幼被选为祭司学徒，通晓天地之礼与祖先之语。在部族信仰被汉文化冲击之时，她选择融合而非对抗——将汉人的节气历法融入祭祀，以'天命在民'诠释部族之权。世人只道她是通灵巫婆，不知她是部族最清醒的政治头脑。,祭司的预言:聆听白羽·鹿灵关于时代巨变的预言;天地之礼:参与部族祭祀见证其精神力量;融合之路:帮其在传统与汉化间找到平衡;鹿灵之叹:听其讲述部族文化的消逝;最后的仪式:在其生命终章见证最终祭祀,第二章以预言影响部族立场；第四章用精神力量阻止部族内战；第六章以祭祀引导命运走向,白发苍苍的老祭司，面纹繁复如经卷，着白羽鹿皮袍，手持骨杖，目光通灵,Art/Portraits/portrait_032
金鹿·商路,印第安商人领袖，跨族贸易网,印第安乡党,非同学NPC,精明、圆滑、豪爽、贪婪、远见,幼时随汉商学习算术，后以毛皮贸易起家，建立横跨三族的商业网络。汉人称其'红番贾谊'，印第安人骂其'白心蛮子'。他不在乎——黄金与毛皮不讲族裔，市集才是他的战场。在派系斗争中两面下注，因为他知道无论谁赢，生意总要做的。,商路之约:与金鹿·商路达成跨族贸易协议;三面间谍:发现其向三方贩卖情报;商人的赌注:在市场动荡时助其保住商业网络;金鹿之道:听其讲述跨族经商的生存哲学;最后一笔交易:在内战前夕完成决定性的物资交易,第三章在贸易争端中斡旋；第五章因走私被通缉；第六章以商业网络影响战局后勤,壮硕的印第安商人，着汉式绸袍外套毛皮坎肩，戴金链挂玉佩，笑容豪爽,Art/Portraits/portrait_033
灰鹰·草灵,印第安传统医师，中西医学融合,印第安乡党,非同学NPC,沉静、博学、好奇、温和、执念,部族医师世家第七代传人，自幼辨识百草、通晓经络。一次偶然救治了受伤的汉人医官，得以接触汉方医学，如获至宝。此后二十年间游走于两套医学体系之间，以印第安草药补汉方之短，以汉方理论统部族之散。著有《草木合编》，却被两方医者各自排斥。,草木合编:帮灰鹰·草灵收集稀有药材;两方医者:在其医学融合受阻时给予支持;瘟疫来袭:在流行病爆发时助其用融合医术救人;医者无界:替其在汉人医馆争取行医资格;最后的处方:在其病重时帮其完成遗著,第三章以融合医术控制瘟疫；第五章因行医资格被吊销而抗争；第六章以医术在内战中救死扶伤,清瘦的中年印第安人，着鹿皮袍外披汉式药褂，腰悬草药袋，眼神温和专注,Art/Portraits/portrait_034
红狐·追风,猎人大师，荒野生存专家,印第安乡党,非同学NPC,机警、野性、孤僻、敏锐、自由,传说中能追踪三天前兔迹的猎人，从不与人结伴，只在荒野中自处。曾受雇于边防军担任追踪教官，却因不服从军纪而被逐。他教会无数汉人士兵如何在荒野生存，自己却永远不属于任何营地。自由如风，谁也拴不住红狐。,狐踪:跟随红狐·追风学习荒野追踪术;野性呼唤:在丛林中与其共同求生;不驯之狐:在军方欲强征其入伍时帮其脱身;猎人与猎物:在敌方追兵中与其配合逃脱;风中归途:在其迷失方向时助其找到精神归处,第三章教授主角荒野生存；第五章在丛林追击中力挽狂澜；第六章选择站在哪一方,精瘦如狐的印第安男子，红褐皮肤，眼角纹深，着皮甲猎装，身形灵动无声,Art/Portraits/portrait_035
