key,value,note
character_create.talent_count,已选择 {0}/2 个天赋。,模板文案
character_create.subject_removed,已移除学科倾向。,界面文案
character_create.subject_max,学科倾向最多选择 2 个。,界面文案
character_create.subject_count,已选择 {0}/2 个学科倾向。,模板文案
character_create.message_continue,继续完成下一项登记。,界面文案
character_create.need_origin,请选择一个家世出身。,界面文案
character_create.need_memory,请完成三段少年往事。,界面文案
character_create.need_talent,请选择 2 个初始天赋。,界面文案
character_create.need_subject,请选择 2 个学科倾向。,界面文案
character_create.random_name_done,姓名已随机生成。,界面文案
character_create.random_all_done,已随机生成完整创建方案。,界面文案
character_create.detail_title,创建明细,界面文案
log.character_create,入学登记：选择特性 - {0}。,模板文案
common.unknown,未知,界面文案
character_create.summary_name,姓名：{0},模板文案
character_create.summary_courtesy,字号：{0},模板文案
character_create.summary_origin,出身：{0},模板文案
common.none_selected,未选择,界面文案
character_create.summary_personality,性格：{0},模板文案
character_create.summary_talents,天赋：{0},模板文案
character_create.summary_subjects,学科：{0},模板文案
character_create.summary_effect_title,开局影响,界面文案
character_create.effect_academy,学科：{0},模板文案
character_create.effect_stance,派系：{0},模板文案
character_create.effect_axis,立场轴：{0},模板文案
character_create.effect_clue,密档线索：{0},模板文案
character_create.effect_subjects,学科倾向：{0},模板文案
common.list_separator,、,界面文案
character_create.effect_memory,往事性格：{0},模板文案
attribute_gain.infantry,步兵+{0},模板文案
attribute_gain.cavalry,骑兵+{0},模板文案
attribute_gain.artillery,炮兵+{0},模板文案
attribute_gain.management,管理+{0},模板文案
attribute_gain.logistics,后勤+{0},模板文案
attribute_gain.training,训练+{0},模板文案
character_create.bonus_none,加成：未选择,界面文案
character_create.bonus_attack,攻击 +{0},模板文案
character_create.bonus_hp,兵力 +{0},模板文案
character_create.bonus_move,移动 +{0},模板文案
character_create.bonus_battle,战斗：{0},模板文案
character_create.bonus_social,社交：好感 +{0},模板文案
character_create.bonus_cultivate,进度 +{0}%,模板文案
character_create.bonus_stamina,体力消耗 -{0},模板文案
character_create.bonus_academy,养成：{0},模板文案
character_create.bonus_no_numeric,加成：暂无数值变化,界面文案
character_create.bonus_header,加成：,界面文案
log.skill_unlock,解锁被动技能：{0}。,模板文案
skill.body,"被动槽位：{0}/{1}
已装备：{2}

已解锁：
{3}",模板文案
skill.none,暂无。通过课程、战斗、情报和战功解锁。,界面文案
skill.equip,装备 {0},模板文案
skill.unequip,卸下 {0},模板文案
skill.title,被动技能,界面文案
log.skill_equip,已装备被动：{0}。,模板文案
log.quest_unlock,新任务：{0}。,模板文案
log.quest_complete,任务完成：{0}。,模板文案
quest.no_active,暂无进行中的任务。,界面文案
quest.line,"· [{0}] {1}  {2}/{3}
  {4}",模板文案
quest.body,"任务追踪
{0}

已完成：{1}",模板文案
quest.claim,领取 {0},模板文案
quest.title,任务日志,界面文案
log.achievement_unlock,成就解锁：{0}。,模板文案
achievement.none,暂无成就。,界面文案
achievement.body,"成就点：{0}
已解锁：{1}/{2}
当前称号：{3}

成就：
{4}

可用称号：{5}",模板文案
title.equip,装备称号 {0},模板文案
achievement.title,成就与称号,界面文案
intel.body,"情报值：{0}  间谍网络：{1}
训练等级会提高行动成功率；失败会损失心情或国库。

敌情摘要：
{2}",模板文案
intel.no_enemy,暂无敌情。,界面文案
intel.action_button,{0} - 花费{1},模板文案
intel.title,情报与间谍,界面文案
intel.army_unknown,{0}方向有不明敌影,模板文案
intel.army_rough,{0}：{1}，兵力约略可见,模板文案
intel.army_clear,{0}：{1}  兵力{2}  攻击{3},模板文案
intel.army_full,{0}：{1}  兵力{2}/{3}  攻击{4}  补给{5}/{6}  AI:{7},模板文案
log.intel_no_money,情报行动「{0}」资金不足。,模板文案
log.intel_success,情报行动「{0}」成功，情报 +{1}。,模板文案
log.intel_fail,情报行动「{0}」失败，心情 -{1}。,模板文案
save.body,"多槽位存档
自动存档：每周推进、战斗开始、战斗结算时写入。
当前周目：{0}
成就点：{1}
已解锁结局：{2}

选择槽位进行保存或读取。",模板文案
save.manual_save,保存到手动槽 {0},模板文案
save.manual_load,读取手动槽 {0},模板文案
save.new_game_plus,开启新周目,界面文案
save.title,存档与多周目,界面文案
system.body,"系统
当前界面：{0}
自动存档：每周、剧情、战斗关键节点
手动槽：3 个

存档读档、标题界面和成就称号都收在这里。",模板文案
button.save_system,存档,界面文案
button.achievements,成就,界面文案
button.battle_lab,战棋工坊,界面文案
button.story_menu,剧情目录,界面文案
system.title,设置,界面文案
mode.strategy,战略地图,界面文案
mode.battle,战斗,界面文案
mode.battle_lab,战棋工坊,界面文案
mode.academy,学院,界面文案
formation.army_line,{0}  Lv.{1}  兵力{2}/{3}  攻击{4}  补给{5},模板文案
formation.no_army,暂无可编队军团。,界面文案
formation.unit_line,{0}｜{1}｜{2},模板文案
formation.body,"直属军团
{0}

常见单位
{1}

军团数值来自战略军团表，棋子序列帧来自常见单位表。",模板文案
button.strategy_short,战略,界面文案
button.mission,军令,界面文案
formation.title,编队,界面文案
character_status.body,"{0}

属性等级
{1}

心态与性格
心情：{2}（{3}）  体力：{4}
特性：{5}

立场
{6}",模板文案
button.attribute_guide,属性说明,界面文案
button.character_archive,角色档案,界面文案
character_status.title,角色状态,界面文案
attribute.infantry,步兵,界面文案
attribute.cavalry,骑兵,界面文案
attribute.artillery,炮兵,界面文案
attribute.management,管理,界面文案
attribute.logistics,后勤,界面文案
attribute.training,训练,界面文案
diplomacy.no_stance,暂无派系接触。,界面文案
diplomacy.stance_line,{0}  倾向{1},模板文案
diplomacy.body,"派系倾向
{0}

警觉
{1}

意识形态
{2}",模板文案
ideology.option_politics,参加时事讲座,界面文案
button.intelligence,情报,界面文案
button.newspaper,报纸,界面文案
diplomacy.title,外交与立场,界面文案
diplomacy.alert_line,{0}  警觉{1},模板文案
diplomacy.no_alert,暂无明显警觉。,界面文案
dossier.summary_full,当前目标：终盘整备完成，等待关键战棋结果。,模板文案
dossier.summary_mid,当前目标：战棋与情报已经接上，准备下一次出阵。,模板文案
dossier.summary_low,当前目标：线索已成形，继续补足主线触发条件。,模板文案
dossier.summary_none,当前目标：先看任务板，补课程、好感、情报或战棋条件。,模板文案
supply.empty,断补,界面文案
supply.low,缺补,界面文案
supply.good,充足,界面文案
supply.status,{0}/{1}（{2}）,模板文案
newspaper.title,报纸刊物,界面文案
newspaper.body,按日期解锁的短文章。不同刊物有自己的立场，读完不会直接给出标准答案。,界面文案
newspaper.empty,暂无可读刊物,界面文案
newspaper.article_body,"{0}

立场倾向：{1}

{2}",模板文案
newspaper.option_clip,记入摘录,界面文案
log.newspaper_clip,摘录：{0}。,模板文案
newspaper.option_continue,继续读报,界面文案
campus_activity.title,周末活动,界面文案
campus_activity.body,周末能听到课堂之外的声音。靶场、茶馆、讲座、救济棚，各有各的门。,界面文案
log.activity_training,{0}：训练修习进度 +{1}。,模板文案
log.activity_social,{0}：朋友圈好感 +{1}。,模板文案
ideology.title,立场偏向,界面文案
ideology.strength_hint,绝对值代表信念强度：{0}。,模板文案
relationship.locked_note,了解尚浅。继续邀约或共同活动可解锁更多词条。,界面文案
relationship.battle_support_high,战场：作为友军时会优先支援主角。,界面文案
relationship.battle_support_mid,战场：作为友军时更愿意靠近主角。,界面文案
relationship.battle_enemy,战场：作为敌军时更可能追击主角。,界面文案
relationship.battle_none,战场：暂无特殊倾向。,界面文案
relationship.detail_body,"朋友圈：{0}
立场：{1}
好感：{2}（{3}）

{4}

{5}",模板文案
relationship.no_circle,未加入,界面文案
relationship.option_invite,邀约,界面文案
log.invite_one,你邀约了{0}，好感 +{1}。,模板文案
academy.section_profile,学籍档案,界面文案
academy.profile_brief_clean,"{0}岁  {1}年级  第{2}周
军衔：{3}    特性：{4}",模板文案
button.character,角色,界面文案
academy.section_schedule,本周安排,界面文案
academy.group_courses,课程训练,界面文案
academy.group_weekend,休整与社交,界面文案
button.rest,休息,界面文案
button.study,自习,界面文案
button.invite,邀约同窗,界面文案
button.campus_activity,周末活动,界面文案
label.log,日志：,界面文案
academy.section_action_preview,行动预览,界面文案
academy.preview_main_check,主线检定,界面文案
button.continue_main_story,继续主线,界面文案
label.relationships,同窗关系,界面文案
relationship.button_label_compact,{0}  {1}  好感{2},模板文案
relationship.more_button,更多人物：角色档案,界面文案
academy.section_events,事件入口,界面文案
button.ideology,立场,界面文案
goal.current_title,当前目标,界面文案
goal.no_active,暂无明确目标。先翻阅剧情，或用一周安排补齐东渡密档线索。,界面文案
goal.quest_progress,{0}：{1}  {2}/{3},模板文案
quest.type_default,任务,界面文案
goal.recommend_rest,推荐：体力偏低，先休息。休息也可能整理出旧线索。,界面文案
goal.recommend_story,推荐：继续剧情；若线索不足，就先安排课程、邀约或情报行动。,界面文案
goal.recommend_strategy,推荐：进入战略地图，把学院训练转化为战场结果。,界面文案
goal.recommend_relationship,推荐：邀约同窗。关系越近，越容易问到派系背后的真话。,界面文案
goal.recommend_ideology,推荐：参加时事讲座。立场变化会影响你能听见哪类消息。,界面文案
goal.recommend_intel,推荐：打开情报入口，先用低风险侦察补齐旧港线索。,界面文案
goal.recommend_course,推荐：安排「{0}」，训练后可能听见相关见闻。,模板文案
goal.recommend_general,推荐：完成一周安排。课堂、同窗和休整都可能留下可追的线头。,界面文案
academy.summary,"姓名：{0}  年龄：{1}  {2}
{3}  称号：{4}
心情：{5}({6})  体力：{7}  战功：{8}
军衔：{9}  国库：{10}
特性：{11}",模板文案
academy.profile_brief,"{0}  {1}岁
{2}  第{3}周
{4}  战功{5}
特性：{6}",模板文案
button.map_tab,地图,界面文案
button.formation,编队,界面文案
button.skills,技能,界面文案
button.quests,任务,界面文案
button.diplomacy,外交,界面文案
button.settings,设置,界面文案
relationship.panel_hint,点击人物查看档案和邀约。,界面文案
relationship.button_label,"{0}  {1}
{2}  好感 {3}",模板文案
attribute_guide.body,"步兵：提升步兵、长枪、重步等近战单位的伤害稳定性。
骑兵：提升骑兵、重骑的冲击伤害和机动价值。
炮兵：提升火枪、弓兵、火炮等远程单位的输出。
管理：影响国库、任务处理和学院评价。
后勤：影响补给恢复、行军续航和缺补给惩罚。
训练：影响情报行动成功率与综合战斗准备。",界面文案
attribute_guide.title,属性影响说明,界面文案
calendar.exam_week,校考周,界面文案
calendar.holiday,假期,界面文案
calendar.normal,校历,界面文案
relationship.level_default,冷漠,界面文案
log.relationship_unlock,{0}解锁了新的角色词条。,模板文案
log.relationship_decay,久未联络：{0}的好感略有下降。,模板文案
common.neutral,中立,界面文案
ideology.axis_label,{0} {1}（{2}）,模板文案
label.character_attributes,角色属性,界面文案
log.campus_wander_empty,校园闲逛：今日无人同行。,界面文案
log.campus_wander,校园闲逛：与{0}同行，好感 +{1}。,模板文案
log.course_gain,{0}：修习进度 +{1}。,模板文案
log.sunday_rest,周日休息：心情和体力恢复。,界面文案
course.training_fallback,训练课程,界面文案
log.sunday_study,周日自习：{0}修习进度 +{1}。,模板文案
invite.title,邀约同窗,界面文案
invite.body,你准备邀同窗共度周日。一次私谈能问出真话，朋友聚会则能听见更多流言。,界面文案
invite.option_person,邀约 {0},模板文案
invite.option_group,朋友圈聚会,界面文案
log.invite_group,你组织了一次朋友圈聚会，全员好感 +{0}。,模板文案
politics.title,时事讲座,界面文案
politics.body,讲座围绕王朝改革、军权、旧港与族群议题展开。你说出口的立场，会决定哪些人愿意继续与你交换消息。,界面文案
log.politics_stance,你在讲座中靠近了{0}。,模板文案
title.graduate_officer,毕业军官,界面文案
title.academy_student,新京军事学院生,界面文案
log.new_school_year,新学年开始。,界面文案
log.low_stamina,体力透支影响了心情。,界面文案
log.exam_result,校考结算：{0}分，战功 +{1}，国库 +{2}。,模板文案
log.holiday_apply,假期：课程暂停，心情与体力恢复。,界面文案
holiday.title,假期,界面文案
holiday.body,本周是假期。课程暂停，但你仍可休整、读报，或整理最近写进密档的线索。,界面文案
holiday.option_rest,休整,界面文案
holiday.option_newspaper,读报,界面文案
button.back,返回,界面文案
log.story_missing,剧情：未找到事件 {0}。,模板文案
story.locked_body,"触发条件：{0}

先完成对应的养成、情报、任务或战棋目标，再回来推进。",模板文案
log.story_locked,剧情未触发：{0}。,模板文案
story.locked_title,剧情未触发,界面文案
story.unlock.unknown,条件未配置,界面文案
story.unlock.ready,已满足，点击继续主线即可推进。,界面文案
story.unlock.quest,完成任务：{0},模板文案
story.unlock.story,完成剧情：{0},模板文案
story.unlock.battle_wins,战棋胜利 {0}/{1},模板文案
story.unlock.battles,完成战棋 {0}/{1},模板文案
story.unlock.enemies,击溃敌方单位 {0}/{1},模板文案
story.unlock.any_course_exp,任意课程进度 {0}/{1},模板文案
story.unlock.any_course_level,任意课程等级 Lv.{0}/Lv.{1},模板文案
story.unlock.any_relationship,任意同窗好感 {0}/{1},模板文案
story.unlock.relationship,{0}好感 {1}/{2},模板文案
story.unlock.intelligence,情报值 {0}/{1},模板文案
story.unlock.spy_network,情报网 Lv.{0}/Lv.{1},模板文案
story.unlock.merit,战功 {0}/{1},模板文案
story.unlock.progress,{0} {1}/{2},模板文案
story.missing_title,剧情缺失,界面文案
story.page_progress,第 {0}/{1} 页,模板文案
story.click_to_continue,点击任意处继续,界面文案
story.empty_text,（暂无剧情文本）,界面文案
log.story_choice,剧情选择：{0}。,模板文案
stance.unknown,未知立场,界面文案
stance.alias_home,返乡,界面文案
stance.alias_army,干城派,界面文案
relationship.story_character,剧情人物,界面文案
relationship.story_character_note,剧情中结识的人物。,界面文案
narrative.default_title,本周余波,界面文案
narrative.choice_pursue,追问到底,界面文案
narrative.choice_record,先记在密档,界面文案
log.narrative_fragment,周记：{0}（{1}）。,模板文案
narrative.pursued,追问,界面文案
narrative.recorded,记录,界面文案
story_menu.title,剧情目录,界面文案
story_menu.main_ready,已满足，点击继续主线。,界面文案
story_menu.summary,"当前主线：{0}
推进条件：{1}
支线会随主线、好感和任务进度开放。",模板文案
story_menu.unlocked_side,已解锁支线,界面文案
story_menu.no_side,支线不会一次性堆出来。先完成主线闸门、提高好感或完成任务。,界面文案
character_archive.title,角色档案,界面文案
character_archive.page,角色 {0}/{1} 页,模板文案
character_archive.card,"{0}｜{1}
{2}
性格：{3}
{4}",模板文案
button.prev_page,上一页,界面文案
button.next_page,下一页,界面文案
strategy.title,战略地图  {0}年  第{1}回合,模板文案
button.academy_review,学院回顾,界面文案
button.system,系统,界面文案
button.end_turn,结束回合,界面文案
strategy.legend_title,势力,界面文案
strategy.army_badge,驻,战略地图驻军简写
strategy.city_summary_more,{0} 等{1}城,省份城市摘要
strategy.city_roster_body,"{0}
区域：{1}
地形：{2}
辖城（{3}座）：{4}",省份城市名册弹窗
strategy.city_roster_title,{0} 城池名册,省份城市名册标题
strategy.province_text_v4,"主城：{0}
辖城：{1}
区域：{2}
地形：{3}
势力：{4}
城防：{5}  收入：{6}
驻军：{7}
道路：{8}

{9}",战略地图省份详情
strategy.no_province_desc,暂无详细情报。,界面文案
strategy.section_theater,北美战区,界面文案
strategy.command_text,"军衔：{0}  指挥上限：{1}
{2}",模板文案
button.city_roster,名册,查看省份城市名册按钮
strategy.army_text,"军团：{0}
兵力：{1}/{2}
等级：{3}
经验：{4}
攻击：{5}
行军力：{6}/{7}",模板文案
strategy.no_army_hint,"点击有我方军团的省份可选择军团。
点击相邻己方省份行军。
点击相邻敌方省份发起六边形战棋。",界面文案
strategy.army_extra_text_v2,"补给：{0}
战术：{1}
情报：{2}",模板文案
strategy.section_army,军团行动,界面文案
label.recent_news,最近消息：,界面文案
mission.locked,军令：指挥权暂停 {0} 回合,模板文案
mission.capture_enemy,军令：夺取相邻敌省,界面文案
mission.supply_line,军令：稳固防线并补给,界面文案
mission.scout_neutral,军令：侦察中立地带,界面文案
mission.title,上级军令,界面文案
mission.body,"当前军衔：{0}
可指挥直属部队：{1}

{2}

攻占敌方据点会获得战功。未达成命令或战败时，会短暂失去直接指挥权。",模板文案
mission.option_strategy,查看战略地图,界面文案
log.cancel_army_selection,取消军团选择。,界面文案
log.command_locked,你暂时被解除指挥权，还需等待 {0} 回合。,模板文案
log.army_not_adjacent,军团只能沿道路进入相邻省份。,界面文案
log.army_no_move,该军团本回合已经用尽行军力。,界面文案
log.army_selected,选中{0}。,模板文案
log.no_local_army,这座省份没有可指挥的我方军团。,界面文案
log.army_moved,{0}沿道路进驻{1}。,模板文案
battle_lab.title,战棋工坊,界面文案
battle_lab.default_name,工坊测试关,界面文案
battle_lab.default_author,策划,界面文案
battle_lab.default_description,战棋测试关卡,界面文案
battle.objective,据点,界面文案
battle_lab.editor_summary,"{0}
{1} x {2}｜目标：{3}｜AI：{4}
画笔：{5}｜地形：{6}｜兵种：{7}
蓝/红：{8}/{9}｜触发器：{10}",模板文案
battle_lab.tab_map,地图,界面文案
battle_lab.tab_brush,画笔,界面文案
battle_lab.tab_trigger,触发,界面文案
battle_lab.tab_file,文件,界面文案
battle_lab.message_default,建议：先保证双方至少各有1个单位，再测试。,界面文案
battle_lab.test,开始测试,界面文案
button.back_strategy,返回战略地图,界面文案
battle_lab.map_section,地图属性,界面文案
battle_lab.name_label,名称,界面文案
battle_lab.name_placeholder,关卡名,界面文案
battle_lab.author_label,作者,界面文案
battle_lab.author_placeholder,策划名,界面文案
battle_lab.desc_label,说明,界面文案
battle_lab.desc_placeholder,一句话说明目标,界面文案
battle_lab.cols_minus,列 -,界面文案
battle_lab.cols_plus,列 +,界面文案
battle_lab.rows_minus,行 -,界面文案
battle_lab.rows_plus,行 +,界面文案
battle_lab.objective_type_button,目标：{0},模板文案
battle_lab.turn_limit_button,回合：{0},模板文案
common.unlimited,不限,界面文案
battle_lab.turn_minus,回合 -,界面文案
battle_lab.weather_button,天气：{0},模板文案
battle_lab.enemy_ai_button,敌AI：{0},模板文案
battle_lab.player_power_minus,蓝军 -,界面文案
battle_lab.player_power_plus,蓝军 +,界面文案
battle_lab.enemy_power_minus,红军 -,界面文案
battle_lab.enemy_power_plus,红军 +,界面文案
battle_lab.power_line,测试兵力：蓝{0}/红{1}  攻击：蓝{2}/红{3},模板文案
battle_lab.brush_section,画笔与对象,界面文案
battle_lab.brush_terrain,地形,界面文案
battle_lab.brush_player,蓝方,界面文案
battle_lab.brush_enemy,红方,界面文案
battle_lab.brush_objective,据点,界面文案
battle_lab.brush_erase,擦除,界面文案
battle_lab.brush_size,尺寸 {0},模板文案
battle_lab.prev_terrain,上一地形,界面文案
battle_lab.next_terrain,下一地形,界面文案
battle_lab.prev_role,上一兵种,界面文案
battle_lab.next_role,下一兵种,界面文案
battle_lab.fill_terrain,填充当前地形,界面文案
battle_lab.mirror_terrain,镜像地形,界面文案
battle_lab.clear_units,清空单位,界面文案
battle_lab.clear_map,清空地图,界面文案
battle_lab.brush_hint,"当前：{0} / {1} / {2}
地形和擦除支持尺寸画笔；单位、据点和触发器按单格放置。",模板文案
battle_lab.trigger_section,触发器,界面文案
battle_lab.brush_trigger_reach,抵达剧情,界面文案
battle_lab.brush_trigger_defeat,击败剧情,界面文案
battle_lab.trigger_story_button,剧情：{0},模板文案
battle_lab.trigger_action_button,动作：{0},模板文案
battle_lab.clear_triggers,清空触发,界面文案
battle_lab.no_triggers,暂无触发器。,界面文案
battle_lab.trigger_list_row,"{0}. {1}({2},{3}) R{4} {5} -> {6}",模板文案
battle_lab.trigger_hint,触发器目前支持：抵达、击败、刷援军、加减士气、直接胜负。后续可继续扩成条件树。,界面文案
battle_lab.file_section,文件与测试,界面文案
battle_lab.save,保存草稿,界面文案
battle_lab.load,载入草稿,界面文案
battle_lab.export_json,导出JSON,界面文案
battle_lab.import_json,导入最新JSON,界面文案
battle_lab.reset,重置,界面文案
battle_lab.open_export_folder,导出目录,界面文案
battle_lab.file_hint,"导出目录：
{0}

导出的 JSON 可以提交到 Git，用于团队共享关卡。运行包里会改用持久化目录。",模板文案
ai.default,均衡型,界面文案
battle_lab.turn_unlimited,回合限制已关闭。,界面文案
battle_lab.turn_limited,回合限制：{0} 回合。,模板文案
battle_lab.weather_rain,雨,界面文案
battle_lab.weather_fog,雾,界面文案
battle_lab.weather_night,夜,界面文案
battle_lab.weather_clear,晴,界面文案
battle_lab.weather_changed,天气已改为：{0}。雨天削弱远程，雾天压低射程，夜战利于散兵。,模板文案
battle_lab.enemy_ai_changed,敌方 AI 已切换为：{0}。,模板文案
battle_lab.power_changed,测试军力已调整：蓝{0}/红{1}。,模板文案
battle_lab.brush_size_changed,画笔尺寸：{0}。,模板文案
battle_lab.filled,全图已填充为：{0}。,模板文案
battle_lab.mirrored,已按左右镜像复制地形。,界面文案
battle_lab.units_cleared,已清空所有蓝方和红方单位。,界面文案
battle_lab.map_cleared,已清空地形、单位和触发器，并保留当前据点。,界面文案
battle_lab.action_spawn_enemy,刷红方,界面文案
battle_lab.action_spawn_player,刷蓝方,界面文案
battle_lab.action_morale_enemy,红方士气,界面文案
battle_lab.action_morale_player,蓝方士气,界面文案
battle_lab.action_victory,直接胜利,界面文案
battle_lab.action_defeat,直接失败,界面文案
battle_lab.action_none,仅剧情,界面文案
battle_lab.trigger_action_changed,新触发器动作：{0}。,模板文案
battle_lab.exported,已导出关卡 JSON：{0},模板文案
battle_lab.export_failed,导出失败：{0},模板文案
battle_lab.import_no_dir,还没有导出目录：{0},模板文案
battle_lab.import_no_file,导出目录里没有可导入的关卡 JSON。,界面文案
battle_lab.import_bad_file,关卡 JSON 读取失败。,界面文案
battle_lab.imported,已导入最新关卡：{0},模板文案
battle_lab.import_failed,导入失败：{0},模板文案
battle_lab.export_folder,导出目录：{0},模板文案
battle_lab.msg_terrain_brush,已用 {0} 格画笔设置地形：{1}。,模板文案
battle_lab.msg_player,已放置蓝方：{0}。,模板文案
battle_lab.msg_enemy,已放置红方：{0}。,模板文案
battle_lab.msg_objective,已移动中央据点。,界面文案
battle_lab.msg_trigger_reach,已设置抵达剧情：{0}抵达第{1}行第{2}列时触发。,模板文案
battle_lab.msg_trigger_defeat,已设置击败剧情：目标单位被击溃时触发。,界面文案
battle_lab.msg_erase_brush,已用 {0} 格画笔擦除。,模板文案
battle_lab.triggers_cleared,已清空本关所有剧情触发器。,界面文案
battle_lab.trigger_defeat_short,击败,界面文案
battle_lab.trigger_reach_short,抵达,界面文案
battle_lab.enemy_unit_suffix,红方部队,界面文案
battle_lab.player_unit_suffix,蓝方部队,界面文案
battle_lab.objective_reach,抵达据点,界面文案
battle_lab.objective_rout,击溃敌军,界面文案
battle_lab.objective_capture,占据据点,界面文案
battle_lab.objective_changed,战争目标已改为：{0}。,模板文案
battle_lab.trigger_title_reinforce,援军信号,界面文案
battle_lab.trigger_title_duel,阵前交锋,界面文案
battle_lab.trigger_title_route,军心动摇,界面文案
battle_lab.trigger_title_ambush,战场变故,界面文案
battle_lab.trigger_body_reinforce,{actor}抵达指定区域，远处响起回应的号声，新的战机已经出现。,界面文案
battle_lab.trigger_body_duel,{actor}与{target}的交锋打乱了敌军节奏，主将立刻下令调整战线。,界面文案
battle_lab.trigger_body_route,{target}被击溃后，周围部队开始迟疑，战场主动权正在转移。,界面文案
battle_lab.trigger_body_ambush,{actor}踏入关键区域，烟尘后传来急促军号，隐藏的剧情节点被触发。,界面文案
battle_lab.trigger_story_changed,剧情模板已切换为：{0}。,模板文案
battle_lab.map_resized,地图已调整为 {0} x {1}。缩小地图会自动移除越界单位和触发器。,模板文案
battle_lab.saved,关卡草稿已保存。,界面文案
battle_lab.no_save,还没有保存过关卡草稿。,界面文案
battle_lab.loaded,关卡草稿已载入。,界面文案
battle_lab.reset_done,已恢复默认演习关卡。,界面文案
battle_lab.need_both_sides,测试前需要至少1个蓝方单位和1个红方单位。,界面文案
battle_lab.player_army,蓝方测试军,界面文案
battle_lab.enemy_army,红方测试军,界面文案
battle_lab.test_start,工坊测试开始。选择蓝方单位行动，胜负不会写入正式存档。,界面文案
battle_lab.test_return,已返回工坊，可继续调整并再次测试。,界面文案
log.unoccupied_capture,目标无驻军，{0}接管了{1}。,模板文案
battle_lab.test_battle_name,工坊测试关,界面文案
battle.title,边境军令：{0}  第{1}回合  当前：{2},模板文案
battle.command_hint_select,选择蓝方单位，随后在棋盘上移动或攻击。,界面文案
battle.command_hint_ready,绿色格可移动，红色格可攻击；右侧可防御或待命。,界面文案
button.cancel_selection,取消选择,界面文案
battle.objective_panel_reach,"战争目标：抵达据点
目标格：第{0}行第{1}列
当前控制：{2}
触发器：{3}
{4}",模板文案
battle.objective_panel_rout,"战争目标：击溃敌军
剩余敌军：{0}
据点格：第{1}行第{2}列
触发器：{3}
{4}",模板文案
